"cell_id","lat_cell","long_cell","sum_cost","event_count","sum_num"
20015,39.0826299207212,-84.3720887899489,0.304,1,3
30012,39.0758831462979,-84.3743479955261,0.608,2,6
30015,39.0826331467003,-84.3743479955181,0.304,1,3
30046,39.1523831508322,-84.3743479954349,2.206,2,4
50018,39.0893894685901,-84.3788664072585,0.304,1,3
50022,39.0983894695407,-84.3788664072441,0.304,1,3
60017,39.0871425636508,-84.3811256134376,10.082,1,1
60046,39.152392571981,-84.3811256133215,1.103,1,2
60049,39.1591425728376,-84.3811256133095,0.304,1,3
60050,39.1613925731229,-84.3811256133055,0.304,1,3
70045,39.1501456247961,-84.3833848196868,10.386,2,4
70046,39.1523956251315,-84.3833848196823,0.304,1,3
70049,39.1591456261369,-84.3833848196691,0.608,2,6
80019,39.0916486242381,-84.3856440263671,1.407,2,5
80020,39.0938986246261,-84.3856440263623,1.407,2,5
80021,39.0961486250141,-84.3856440263576,0.141,1,4
80052,39.1658986369686,-84.3856440262091,0.304,1,3
90017,39.0871515879733,-84.3879032331346,1.103,1,2
90018,39.0894015884105,-84.3879032331294,1.103,1,2
90020,39.0939015892843,-84.3879032331191,21.571,4,7
90022,39.0984015901574,-84.3879032331088,0.304,1,3
100014,39.0804045074331,-84.3901624400974,1.103,1,2
100017,39.0871545088897,-84.390162440081,0.282,2,8
100049,39.1591545243245,-84.390162439905,0.304,1,3
100050,39.1614045248039,-84.3901624398995,10.082,1,1
110014,39.0804073846118,-84.3924216472305,1.103,1,2
110019,39.0916573872752,-84.3924216472014,2.206,2,4
110020,39.0939073878072,-84.3924216471956,1.103,1,2
110045,39.150157401044,-84.3924216470499,0.304,1,3
110050,39.1614074036764,-84.3924216470208,2.015,4,11
110051,39.1636574042023,-84.3924216470149,1.103,1,2
120049,39.1591602383577,-84.3946808543317,1.407,2,5
120051,39.1636602395017,-84.3946808543194,0.304,1,3
130049,39.1591630299467,-84.3969400618174,0.445,2,7
130050,39.1614130305641,-84.396940061811,1.031,5,18
140050,39.1614157785792,-84.3991992694744,0.304,1,3
150056,39.1749184872053,-84.4014584772711,1.103,1,2
160050,39.1614211437521,-84.4037176853237,1.103,1,2
160060,39.183921151228,-84.4037176852515,1.103,1,2
170044,39.1479237561556,-84.4059768935486,0.141,1,4
170045,39.1501737569487,-84.4059768935412,0.046,1,5
170049,39.1591737601183,-84.4059768935114,0.304,1,3
170060,39.1839237688097,-84.4059768934296,1.103,1,2
170061,39.1861737695981,-84.4059768934221,0.304,1,3
180044,39.1479263294432,-84.4082361018968,0.608,2,6
210041,39.1411837847455,-84.4150137279377,0.304,1,3
210058,39.1794338009723,-84.4150137277986,0.304,1,3
210059,39.1816838019235,-84.4150137277904,1.244,2,6
210062,39.1884338047751,-84.4150137277658,1.103,1,2
220033,39.1231861754708,-84.4172729369915,1.103,1,2
220041,39.1411861834563,-84.4172729369248,0.304,1,3
220051,39.1636861934042,-84.4172729368415,0.141,1,4
220052,39.1659361943969,-84.4172729368332,0.304,1,3
220061,39.1861862033143,-84.4172729367582,1.711,3,8
220062,39.1884362043033,-84.4172729367498,1.103,1,2
230005,39.060188501039,-84.4195321463691,1.103,1,2
230037,39.132188534411,-84.4195321460983,10.082,1,1
230041,39.1411885385543,-84.4195321460645,11.185,2,3
230046,39.1524385437246,-84.4195321460221,0.304,1,3
240027,39.109690834982,-84.4217913554741,0.304,1,3
240036,39.129940844671,-84.4217913553968,1.244,2,6
240037,39.1321908457455,-84.4217913553882,2.206,2,4
240040,39.1389408489666,-84.4217913553625,1.103,1,2
240041,39.1411908500395,-84.4217913553539,0.304,1,3
240042,39.143440851112,-84.4217913553453,1.407,2,5
240046,39.1524408553979,-84.421791355311,0.046,1,5
240047,39.1546908564684,-84.4217913553024,1.103,1,2
240048,39.1569408575384,-84.4217913552938,2.206,2,4
240049,39.1591908586081,-84.4217913552852,0.936,5,19
240052,39.1659408618146,-84.4217913552594,0.304,1,3
240060,39.1839408703473,-84.4217913551907,0.304,1,3
240061,39.1861908714121,-84.4217913551822,10.082,1,1
250004,39.0579430765678,-84.4240505651117,1.103,1,2
250007,39.0646930799414,-84.4240505650856,1.103,1,2
250036,39.1299431123585,-84.4240505648337,10.082,1,1
250041,39.1411931179119,-84.4240505647903,0.304,1,3
250046,39.1524431234548,-84.4240505647468,0.187,2,9
250047,39.1546931245621,-84.4240505647381,0.445,2,7
250048,39.156943125669,-84.4240505647294,0.304,1,3
